date,cases,deaths
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,3,0
2020-01-26,5,0
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,6,0
2020-01-31,7,0
2020-02-01,8,0
2020-02-02,11,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,12,0
2020-02-06,12,0
2020-02-07,12,0
2020-02-08,12,0
2020-02-09,12,0
2020-02-10,13,0
2020-02-11,13,0
2020-02-12,14,0
2020-02-13,15,0
2020-02-14,15,0
2020-02-15,15,0
2020-02-16,15,0
2020-02-17,25,0
2020-02-18,25,0
2020-02-19,25,0
2020-02-20,27,0
2020-02-21,30,0
2020-02-22,30,0
2020-02-23,30,0
2020-02-24,43,0
2020-02-25,45,0
2020-02-26,60,0
2020-02-27,60,0
2020-02-28,65,0
2020-02-29,70,1
2020-03-01,88,3
2020-03-02,104,6
2020-03-03,125,10
2020-03-04,161,12
2020-03-05,228,12
2020-03-06,311,15
2020-03-07,428,19
2020-03-08,547,22
2020-03-09,748,26
2020-03-10,1018,31
2020-03-11,1263,37
2020-03-12,1668,43
2020-03-13,2224,50
2020-03-14,2898,60
2020-03-15,3600,68
2020-03-16,4507,91
2020-03-17,5906,117
2020-03-18,8350,162
2020-03-19,12393,212
2020-03-20,18010,275
2020-03-21,24526,358
2020-03-22,33070,455
2020-03-23,43499,574
2020-03-24,54171,784
2020-03-25,68780,1049
2020-03-26,85639,1349
2020-03-27,103005,1761
2020-03-28,123944,2291
2020-03-29,142386,2628
2020-03-30,163876,3191
2020-03-31,188325,4010
2020-04-01,215463,5025
2020-04-02,244592,6092
2020-04-03,276962,7917
2020-04-04,311802,9470
2020-04-05,337595,10832
2020-04-06,371111,13080
2020-04-07,399350,14582
2020-04-08,431133,16653
2020-04-09,465859,18779
2020-04-10,499328,21032
2020-04-11,531059,23109
2020-04-12,558185,24787
2020-04-13,583986,26549
2020-04-14,610620,29247
2020-04-15,640460,31995
2020-04-16,672325,34352
2020-04-17,703750,36618
2020-04-18,732126,38571
2020-04-19,757480,40089
2020-04-20,784755,41919
2020-04-21,810252,44587
2020-04-22,838112,46896
2020-04-23,872003,49066
2020-04-24,909473,51157
2020-04-25,943755,53160
2020-04-26,970353,54406
2020-04-27,993710,55996
2020-04-28,1018551,58374
2020-04-29,1045061,60888
2020-04-30,1075486,63099
2020-05-01,1109434,64859
2020-05-02,1138961,66444
2020-05-03,1164970,67772
2020-05-04,1186886,68832
2020-05-05,1210597,71066
2020-05-06,1235102,74010
2020-05-07,1263528,75732
2020-05-08,1291259,77306
2020-05-09,1316092,78761
2020-05-10,1336251,79692
2020-05-11,1354030,80681
2020-05-12,1376323,82334
2020-05-13,1397507,84102
2020-05-14,1424521,85840
2020-05-15,1450635,87432
2020-05-16,1474285,88658
2020-05-17,1493270,89502
2020-05-18,1515054,90291
2020-05-19,1536153,91934
2020-05-20,1558933,93406
2020-05-21,1584970,94718
2020-05-22,1608587,95887
2020-05-23,1631008,97060
2020-05-24,1650954,97673
2020-05-25,1670101,98165
2020-05-26,1688958,98937
